fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
155	4	45.28	-33	3	-23	19	18.75	-9	28	33.89	-38	5	5.37	-25	13	12.75	
156	4	45.28	-33	3	-22	20	20.11	-8	29	35.22	-38	5	5.37	-25	14	13.54	
157	4	45.28	-33	3	-22	20	20.11	-7	30	36.54	-38	5	5.37	-24	14	14.14	
158	4	45.27	-34	4	-22	20	19.82	-7	30	36.43	-38	5	4.11	-24	14	14.05	
159	4	45.27	-34	4	-22	20	19.82	-7	31	37.08	-38	5	4.11	-24	15	14.76	
160	5	46.03	-33	3	-31	15	12.16	-31	15	12.16	-35	5	2.82	-35	5	2.82	
161	5	46.03	-33	3	-31	15	12.16	-31	15	12.16	-35	5	2.82	-35	5	2.82	
162	5	46.03	-33	3	-31	15	12.16	-31	15	12.16	-35	5	2.82	-36	5	3.60	
163	5	46.02	-31	3	-31	15	12.00	-31	15	12.00	-35	5	4.46	-37	5	6.31	
164	5	46.02	-31	3	-31	15	12.00	-31	16	13.00	-35	5	4.46	-37	5	6.31	
165	5	46.04	-30	2	-31	15	13.04	-31	16	14.03	-35	5	5.82	-38	5	8.53	
166	5	46.05	-29	1	-31	15	14.14	-31	16	15.13	-35	5	7.20	-39	6	11.16	
167	5	46.05	-29	1	-31	16	15.13	-31	18	17.11	-35	5	7.20	-39	6	11.16	
168	5	46.04	-28	1	-31	16	15.29	-32	18	17.45	-35	4	7.61	-40	5	12.63	
169	5	46.05	-27	0	-31	16	16.48	-32	18	18.66	-35	4	8.94	-41	5	14.85	
170	5	46.05	-27	0	-31	16	16.48	-32	19	19.62	-35	4	8.94	-41	5	14.85	
171	5	46.03	-25	0	-30	16	16.74	-31	19	19.89	-35	4	10.76	-42	6	18.00	
172	5	46.03	-25	0	-30	16	16.74	-31	19	19.89	-35	4	10.76	-43	6	18.94	
173	5	46.02	-25	1	-30	17	16.74	-31	21	20.84	-35	4	10.43	-43	6	18.64	
174	5	46.01	-24	1	-30	17	17.05	-31	21	21.13	-35	4	11.39	-44	6	20.57	
175	5	46.01	-24	1	-30	17	17.05	-31	21	21.13	-35	4	11.39	-45	6	21.54	
176	5	45.98	-23	2	-30	17	16.50	-32	22	21.83	-35	3	12.03	-45	6	22.30	
177	5	45.98	-23	2	-30	17	16.50	-32	22	21.83	-35	3	12.03	-46	6	23.28	
178	5	45.98	-22	2	-30	17	16.94	-32	22	22.24	-35	3	13.03	-47	6	25.25	
179	5	45.98	-22	2	-30	17	16.94	-32	23	23.13	-35	3	13.03	-47	6	25.25	
180	5	45.98	-22	2	-30	18	17.82	-32	24	24.03	-35	3	13.03	-48	6	26.24	
181	5	45.97	-21	2	-30	18	18.28	-32	24	24.44	-35	3	14.02	-49	7	28.35	
182	5	45.97	-21	2	-29	18	17.82	-31	25	24.94	-35	3	14.02	-49	7	28.35	
183	5	45.97	-21	2	-29	18	17.82	-31	25	24.94	-35	3	14.02	-50	7	29.33	
184	5	45.96	-20	2	-29	18	18.28	-32	25	25.75	-35	2	14.99	-51	6	31.17	
185	5	45.96	-20	2	-29	18	18.28	-32	26	26.63	-35	2	14.99	-51	6	31.17	
186	5	45.96	-20	2	-29	19	19.15	-32	27	27.52	-35	2	14.99	-52	7	32.28	
187	5	45.96	-20	2	-29	19	19.15	-32	27	27.52	-35	2	14.99	-53	7	33.26	
188	5	45.96	-20	2	-29	19	19.15	-32	28	28.42	-35	2	14.99	-53	7	33.26	
189	5	45.96	-20	2	-29	19	19.15	-32	28	28.42	-35	2	14.99	-54	7	34.25	
190	5	45.96	-20	2	-29	19	19.15	-32	28	28.42	-35	2	14.99	-55	7	35.23	
191	5	45.96	-20	2	-29	19	19.15	-33	29	29.70	-35	2	14.99	-56	8	36.34	
192	6	46.13	-20	2	-30	-4	11.66	-30	-4	11.66	-24	-17	19.41	-24	-17	19.41	
193	6	45.64	-19	3	-30	-4	13.03	-30	-4	13.03	-24	-17	20.60	-23	-17	20.39	
194	6	45.61	-17	3	-30	-4	14.76	-30	-5	15.25	-24	-18	22.10	-23	-18	21.82	
195	6	45.61	-17	3	-30	-4	14.76	-30	-5	15.25	-24	-18	22.10	-23	-18	21.82	
196	6	44.75	-16	5	-30	-4	16.63	-31	-6	18.58	-23	-19	24.97	-22	-19	24.72	
197	6	44.75	-16	5	-30	-5	17.19	-31	-7	19.19	-23	-20	25.93	-22	-20	25.69	
198	6	44.75	-16	5	-30	-5	17.19	-31	-8	19.82	-23	-20	25.93	-22	-20	25.69	
199	6	44.74	-15	5	-30	-5	18.01	-32	-8	21.37	-23	-21	27.16	-21	-21	26.66	
200	6	44.74	-15	5	-30	-5	18.01	-32	-9	21.98	-22	-22	27.86	-20	-22	27.44	
201	6	44.73	-14	5	-30	-5	18.85	-32	-9	22.76	-22	-22	28.11	-20	-22	27.63	
202	6	44.73	-14	5	-30	-6	19.40	-33	-11	24.77	-22	-23	29.07	-20	-23	28.61	
203	6	44.73	-14	5	-30	-6	19.40	-33	-11	24.77	-22	-23	29.07	-20	-23	28.61	
204	6	44.73	-14	5	-30	-6	19.40	-33	-12	25.42	-21	-24	29.79	-19	-24	29.41	
205	6	44.73	-14	5	-30	-6	19.40	-34	-12	26.16	-21	-25	30.76	-18	-25	30.25	
206	6	44.73	-14	5	-30	-7	19.97	-34	-14	27.47	-21	-25	30.76	-18	-25	30.25	
207	6	44.73	-14	5	-30	-7	19.97	-34	-14	27.47	-21	-26	31.73	-18	-26	31.24	
208	6	44.73	-14	5	-29	-7	19.19	-34	-15	28.16	-20	-27	32.52	-17	-28	33.13	
209	6	44.73	-14	5	-29	-7	19.19	-34	-15	28.16	-20	-27	32.52	-17	-28	33.13	
210	6	44.73	-14	5	-29	-7	19.19	-34	-16	28.86	-20	-28	33.50	-17	-29	34.12	
211	6	44.36	-14	6	-29	-8	20.49	-35	-17	30.98	-20	-28	34.49	-16	-29	35.05	
212	6	44.36	-14	6	-29	-8	20.49	-35	-18	31.71	-19	-29	35.33	-15	-30	36.01	
213	6	44.73	-14	5	-29	-8	19.82	-35	-18	30.95	-19	-30	35.33	-15	-31	36.01	
214	6	44.73	-14	5	-29	-8	19.82	-36	-19	32.33	-19	-30	35.33	-15	-31	36.01	
215	6	44.73	-14	5	-29	-9	20.48	-36	-20	33.06	-19	-31	36.32	-15	-32	37.01	
216	6	44.36	-14	6	-29	-9	21.18	-36	-21	34.57	-18	-32	38.19	-14	-33	39.00	
217	6	44.36	-14	6	-29	-9	21.18	-37	-21	35.19	-18	-32	38.19	-13	-33	39.01	
218	6	44.36	-14	6	-29	-9	21.18	-37	-22	35.94	-18	-33	39.18	-13	-34	40.01	
219	6	44.36	-14	6	-29	-9	21.18	-37	-22	35.94	-18	-33	39.18	-13	-34	40.01	
220	6	44.36	-14	6	-29	-10	21.89	-38	-24	38.05	-17	-34	40.10	-12	-35	41.04	
221	6	44.36	-14	6	-29	-10	21.89	-38	-24	38.05	-17	-35	41.10	-12	-36	42.04	
222	6	44.36	-14	6	-29	-10	21.89	-38	-25	38.81	-17	-35	41.10	-12	-36	42.04	
223	6	44.36	-14	6	-29	-10	21.89	-39	-26	40.16	-17	-36	42.09	-12	-38	44.04	
224	7	44.85	-14	7	-6	0	10.62	-6	0	10.62	-11	2	5.83	-11	2	5.83	
225	7	44.85	-14	7	-6	0	10.62	-5	0	11.38	-11	2	5.83	-10	2	6.39	
226	7	44.64	-14	8	-6	0	11.30	-5	-1	12.71	-11	2	6.70	-10	2	7.20	
227	7	44.64	-14	8	-5	0	12.02	-4	-1	13.43	-11	2	6.70	-9	2	7.80	
228	7	44.44	-14	9	-5	0	12.70	-3	-2	15.53	-10	2	8.05	-8	2	9.20	
229	7	44.42	-13	9	-4	0	12.70	-2	-2	15.53	-10	2	7.61	-7	2	9.20	
230	7	44.42	-13	9	-4	0	12.70	-2	-3	16.25	-10	2	7.61	-7	2	9.20	
231	7	44.24	-13	10	-4	0	13.42	-1	-3	17.66	-10	2	8.54	-6	2	10.60	
232	7	44.24	-13	10	-3	0	14.11	0	-4	19.07	-9	2	8.93	-5	2	11.28	
233	7	44.06	-13	11	-3	0	14.82	0	-4	19.81	-9	2	9.84	-4	2	12.68	
234	7	44.06	-13	11	-2	0	15.51	0	-5	20.58	-9	2	9.84	-4	2	12.68	
235	7	44.06	-13	11	-2	0	15.51	1	-6	21.98	-9	2	9.84	-3	2	13.40	
236	7	44.04	-12	11	-2	0	14.82	1	-6	21.36	-8	2	9.84	-2	2	13.40	
237	7	44.04	-12	11	-1	0	15.51	2	-7	22.76	-8	2	9.84	-1	2	14.15	
238	7	44.04	-12	11	-1	0	15.51	3	-7	23.39	-8	2	9.84	-1	2	14.15	
